ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,DATE
O20190204000000,CA,00-08,PART A PROVIDER - HOSPICE,1336898337,N,751700,8628315355,BENJAMIN HEALTHCARE,CROSSROADS HOSPICE VALLEJO,01/08/2019,CA,CORPORATION,,P,127 HOSPITAL DR,STE 202A,VALLEJO,CA,945892500,01/2025
O20190205003343,GA,00-08,PART A PROVIDER - HOSPICE,1326515719,N,851514,1759579253,"AFFINIS HOSPICE, LLC",,12/09/2009,,LLC,,N,300 W CLINTON ST,STE I,GRAY,GA,310325329,01/2025
O20190206002476,CA,00-08,PART A PROVIDER - HOSPICE,1912321944,N,A01726,547491102,WHITE ROSE HOSPICE INC,,01/04/2013,CA,CORPORATION,,P,16200 VENTURA BLVD,STE 202,ENCINO,CA,914362215,01/2025
O20190206003079,MI,00-08,PART A PROVIDER - HOSPICE,1740753326,N,231669,3779821327,CARELINE HEALTH GROUP - MI LLC,CARELINE HOSPICE,01/02/2019,MI,LLC,,P,801 ROSEHILL RD,,JACKSON,MI,492021762,01/2025
O20190208000284,IL,00-08,PART A PROVIDER - HOSPICE,1861972515,N,141699,4981942414,LIFECHOICE HOSPICE LLC,LIFECHOICE HOSPICE AND PALLIATIVE CARE,,,LLC,,P,275 12TH ST,STE 2C,WHEELING,IL,600902015,01/2025
O20190208001494,OK,00-08,PART A PROVIDER - HOSPICE,1396238143,N,371629,4183962632,KINDFUL HOSPICE ADA LLC,CHOICE HEALTH AT HOME - SOUTHEASTERN OKLAHOMA HOSPICE,05/24/2018,OK,LLC,,P,117 S BROADWAY AVE,,ADA,OK,748205801,01/2025
O20190211002845,CA,00-08,PART A PROVIDER - HOSPICE,1477021244,N,A11543,5294073649,AMERICAN COMPASSIONATE HOSPICE CARE INC,,03/24/2017,CA,CORPORATION,,P,5531 BUSINESS PARK S,STE 202A,BAKERSFIELD,CA,933091667,01/2025
O20190212000005,AZ,00-08,PART A PROVIDER - HOSPICE,1245707595,N,31694,941548291,WHITE ROSE GROUP LLC,WHITE ROSE HOSPICE,11/28/2016,AZ,LLC,,P,4131 N 24TH ST,STE A116,PHOENIX,AZ,850166262,01/2025
O20190212002489,CO,00-08,PART A PROVIDER - HOSPICE,1679044598,N,61609,2961740279,TOC INC,TOUCH OF CARE HOSPICE,09/21/2004,CO,CORPORATION,,P,1100 E MAIN ST,STE B-1,MONTROSE,CO,814014063,01/2025
O20190215002229,TX,00-08,PART A PROVIDER - HOSPICE,1215412127,N,971507,8426396458,CONCORD HOSPICE CARE LLC,,09/20/2018,TX,LLC,,P,7981 MILE 17 N,STE C,EDCOUCH,TX,785382096,01/2025
O20190219000833,OK,00-08,PART A PROVIDER - HOSPICE,1043786304,N,371503,9537061171,"SAINT FRANCIS HOSPITAL, INC.",SAINT FRANCIS HOSPICE,12/03/1955,OK,CORPORATION,,N,"6600 S YALE AVE, SUITE 350",,TULSA,OK,741363362,01/2025
O20190219001542,MI,00-08,PART A PROVIDER - HOSPICE,1144785965,N,231681,8123366077,COMPASSIONATE HOSPICE CARE LLC,,01/29/2019,MI,LLC,,P,10524 GRAND RIVER RD,STE 104,BRIGHTON,MI,481169559,01/2025
O20190221000116,NV,00-08,PART A PROVIDER - HOSPICE,1063985299,N,291576,5890033658,"ABSOLUTE PALLIATIVE CARE, LLC",ABSOLUTE PALLIATIVE CARE,10/19/2018,NV,LLC,,P,3127 S EASTERN AVE,,LAS VEGAS,NV,891693308,01/2025
O20190221000277,TX,00-08,PART A PROVIDER - HOSPICE,1336642974,N,971506,3779821541,CARRINGTON HOSPICE CARE INC.,KLARUS HOSPICE CARE,12/30/2016,TX,CORPORATION,,P,4100 INTERNATIONAL PLZ,STE 750,FORT WORTH,TX,761094800,01/2025
O20190221002267,TX,00-08,PART A PROVIDER - HOSPICE,1295221745,N,971578,840539649,210 HOSPICE CARE LLC,SAN ANTONIO HOSPICE CARE,12/31/2018,TX,LLC,,P,1850 LOCKHILL SELMA RD,STE 102,SAN ANTONIO,TX,782131552,01/2025
O20190225000024,MI,00-08,PART A PROVIDER - HOSPICE,1851865786,N,231574,8820337504,BEAUMONT ASHN LLC,BEAUMONT HOSPICE,12/31/2019,OH,LLC,,P,1975 TECHNOLOGY DR,STE J120,TROY,MI,480834247,01/2025
O20190225000599,AZ,00-08,PART A PROVIDER - HOSPICE,1376008342,N,31696,6709125404,DESERT VALLEY HOSPICE LLC,,10/02/2018,AZ,LLC,,P,11225 N 28TH DR,STE D112,PHOENIX,AZ,850295642,01/2025
O20190226000000,CA,00-08,PART A PROVIDER - HOSPICE,1811444631,N,A01649,1557404704,"ASSISTED HOME CARE, INC",,07/26/1995,CA,CORPORATION,,P,1126 N GRAND AVE,STE 208,COVINA,CA,917241551,01/2025
O20190226000208,TX,00-08,PART A PROVIDER - HOSPICE,1073005385,N,971598,5991044562,VARA HOSPICE LLC,VARA HOSPICE,05/25/2018,TX,LLC,,P,1520 E SAN PEDRO ST,STE 102,LAREDO,TX,780415479,01/2025
O20190226000617,VA,00-08,PART A PROVIDER - HOSPICE,1932401494,N,491603,6800135484,HASLUP HOSPICE ENTERPRISES LTD,INTERIM HEALTHCARE HOSPICE & PALLIATIVE CARE,10/01/2018,VA,CORPORATION,,P,516 S INDEPENDENCE BLVD,STE 106,VIRGINIA BEACH,VA,234521153,01/2025
